"names","scores","logfoldchanges","pvals","pvals_adj","group"
"Ppil3",3.9359436,0.56867594,8.79205476444794e-05,0.000164663250875662,"natural killer cell"
"Mthfd1l",3.931931,1.0239973,8.94238980692572e-05,0.000167388743447913,"natural killer cell"
"Armc8",3.9253614,0.60585487,9.18234619555513e-05,0.000171811077134843,"natural killer cell"
"Recql",3.9208877,0.9750394,9.35634779787995e-05,0.000175019776530888,"natural killer cell"
"Rps6kb2",3.9156783,0.94303906,9.55863263692814e-05,0.000178659673655581,"natural killer cell"
"Zbtb45",3.9146998,1.0260248,9.59656914307161e-05,0.000179344662425426,"natural killer cell"
"Topbp1",3.9143999,0.8428388,9.6075761916171e-05,0.000179526265991277,"natural killer cell"
"Parvg",3.9114978,0.6803383,9.7192803969455e-05,0.000181540456736721,"natural killer cell"
"H2-K2",3.9069035,0.636489,9.90038429759116e-05,0.000184898376451256,"natural killer cell"
"Exoc2",3.9060242,0.81820923,9.94129770168748e-05,0.000185587776995027,"natural killer cell"
"Oraov1",3.8982253,1.0401182,0.000102645401812542,0.000191416830359329,"natural killer cell"
"Fam76b",3.8936458,0.68010014,0.000104526463894566,0.000194846398483697,"natural killer cell"
"A930038C07Rik",3.8934498,2.010408,0.000104726827527715,0.000195167625972332,"natural killer cell"
"Pank2",3.8915946,0.53220975,0.000105386593210274,0.000196344588340502,"natural killer cell"
"Trmt6",3.889427,0.73571813,0.00010634980972543,0.000198112632301313,"natural killer cell"
"Zfp51",3.8791704,1.0239152,0.000110898274030881,0.000206254492021897,"natural killer cell"
