symbol	Reference	species	m	gene_name	ensembl	models	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	WM	p_value	fdr	t_stat	log_fc	rank	mean_expr	best_gene_m	best_gene_name	best_gene_ensembl	best_gene_p_value	best_gene_fdr	best_gene_t_stat	best_gene_log_fc	best_gene_mean_expr
Oma1	Molyneaux	MH	830	OMA1	ENSG00000162600	Layer5	0	0	0	0	1	0	0	0.1127984892	0.5182877952	-1.604115208	-0.313494657	4859	3.695415588	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Igfbp4	Molyneaux	MH	18297	IGFBP4	ENSG00000141753	Layer2+Layer3+Layer5+Layer6	0	1	1	0	1	1	0	0.1315420993	0.2861871193	-1.524326331	-0.2170460078	10264	7.254017109	16123	ARPP19	ENSG00000128989	1.69E-15	3.77E-11	9.975362725	0.4744671465	10.72037601
Col24a1	Zeng	MH	969	COL24A1	ENSG00000171502	Layer2+Layer3+Layer5+Layer6	0	1	1	0	1	1	0	0.1469531894	0.3080436105	1.465209305	0.2533796247	10651	3.157181671	16123	ARPP19	ENSG00000128989	1.69E-15	3.77E-11	9.975362725	0.4744671465	10.72037601
cux1	Molyneaux	MH	8614	CUX1	ENSG00000257923	Layer2+Layer3+Layer4	0	1	1	1	0	0	0	0.1502032105	0.316254802	1.453355339	0.1091863756	10605	6.381683139	8315	VSTM2A	ENSG00000170419	1.03E-17	2.30E-13	11.14812183	1.008219378	7.439451534
Foxo1	Molyneaux	MH	14820	FOXO1	ENSG00000150907	Layer5	0	0	0	0	1	0	0	0.154288763	0.5868544315	-1.438752192	-0.2924693552	5871	4.275643475	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
S100A10	Molyneaux	MH	1385	S100A10	ENSG00000197747	Layer5	0	0	0	0	1	0	0	0.1631851695	0.599252413	-1.407952304	-0.3387349153	6080	7.079485925	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Kcnip2	Molyneaux	MH	13247	KCNIP2	ENSG00000120049	Layer4	0	0	0	1	0	0	0	0.1823192448	0.4887013631	-1.345835848	-0.2873995593	8331	6.454059472	13544	VAMP1	ENSG00000139190	2.50E-12	4.94E-08	8.321384077	1.271969521	7.017662699
Kcnip1	Zeng	H	6723	KCNIP1	ENSG00000182132	Layer4	0	0	0	1	0	0	0	0.2065962887	0.5137529758	-1.273753425	-0.1696363931	8980	5.245712213	13544	VAMP1	ENSG00000139190	2.50E-12	4.94E-08	8.321384077	1.271969521	7.017662699
Tle3	Molyneaux	MH	16272	TLE3	ENSG00000140332	Layer2+Layer3	0	1	1	0	0	0	0	0.2701744161	0.528814954	-1.110680128	-0.1030402464	11409	5.957058285	6121	CARTPT	ENSG00000164326	5.55E-19	1.24E-14	11.8347748	2.183571906	6.426823464
Sema3c	Zeng	H	8430	SEMA3C	ENSG00000075223	Layer6	0	0	0	0	0	1	0	0.2774523426	0.7203567332	1.093828433	0.2875503953	8601	5.037865067	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
