symbol	Reference	species	m	gene_name	ensembl	models	Layer1	Layer2	Layer3	Layer4	Layer5	Layer6	WM	p_value	fdr	t_stat	log_fc	rank	mean_expr	best_gene_m	best_gene_name	best_gene_ensembl	best_gene_p_value	best_gene_fdr	best_gene_t_stat	best_gene_log_fc	best_gene_mean_expr
Dkk3	Molyneaux	MH	11584	DKK3	ENSG00000050165	Layer5+Layer6	0	0	0	0	1	1	0	2.41E-07	3.10E-05	5.668938	0.3433076561	174	10.20160791	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Rorb	Zeng+Molyneaux	MH	10825	RORB	ENSG00000198963	Layer4	0	0	0	1	0	0	0	2.91E-07	0.0003068254093	5.622906532	1.407518292	21	6.299587461	13544	VAMP1	ENSG00000139190	2.50E-12	4.94E-08	8.321384077	1.271969521	7.017662699
Tle1	Molyneaux	MH	10844	TLE1	ENSG00000196781	Layer2+Layer3	0	1	1	0	0	0	0	3.76E-07	2.70E-05	5.560005654	0.4401586719	311	6.131572027	6121	CARTPT	ENSG00000164326	5.55E-19	1.24E-14	11.8347748	2.183571906	6.426823464
gpr6	Molyneaux	MH	7651	GPR6	ENSG00000146360	Layer2+Layer3+Layer4	0	1	1	1	0	0	0	3.95E-07	1.50E-05	5.548261025	1.41521082	586	3.276025106	8315	VSTM2A	ENSG00000170419	1.03E-17	2.30E-13	11.14812183	1.008219378	7.439451534
Tox	Zeng	MH	10036	TOX	ENSG00000198846	Layer5+Layer6	0	0	0	0	1	1	0	4.25E-07	4.77E-05	5.530551663	0.9226942684	199	5.510835068	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Pcdh17	Zeng	H	14929	PCDH17	ENSG00000118946	Layer6	0	0	0	0	0	1	0	4.55E-07	0.0001661584873	5.513685049	0.9573991811	61	6.422381626	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Pou3F1	Molyneaux	MH	590	POU3F1	ENSG00000185668	Layer2+Layer3+Layer4+Layer5	0	1	1	1	1	0	0	1.03E-06	1.25E-05	5.310499805	1.253040579	1853	1.840882308	16941	CRYM	ENSG00000103316	1.48E-24	3.31E-20	15.0262641	0.9429305183	8.640983059
Bend5	Zeng	MH	754	BEND5	ENSG00000162373	Layer3+Layer5	0	0	1	0	1	0	0	1.25E-06	0.003102264244	5.262904568	0.7455629612	9	6.064867119	13092	SNCG	ENSG00000173267	4.19E-08	0.0009355315259	6.089484053	0.8035945577	9.286141931
unc5d	Molyneaux	MH	9918	UNC5D	ENSG00000156687	Layer2+Layer3+Layer4	0	1	1	1	0	0	0	4.63E-06	9.93E-05	4.930444874	0.6430287794	1042	5.218464344	8315	VSTM2A	ENSG00000170419	1.03E-17	2.30E-13	11.14812183	1.008219378	7.439451534
Atp2b4	Zeng	MH	1884	ATP2B4	ENSG00000058668	Layer2+Layer5+Layer6	0	1	0	0	1	1	0	8.51E-06	0.0005975365575	4.773000853	0.3357309166	318	7.90133537	12914	PHYHIPL	ENSG00000165443	6.51E-18	1.45E-13	11.25728032	0.4603880633	8.683776893
Cnr1	Zeng	MH	7564	CNR1	ENSG00000118432	Layer1+Layer2+Layer6	1	1	0	0	0	1	0	1.15E-05	0.001872662426	4.694068818	0.7258794976	137	6.997688736	19322	DOK6	ENSG00000206052	4.91E-17	6.56E-13	10.78603136	0.7965968102	6.665291369
Pcp4	Zeng	MH	22225	PCP4	ENSG00000183036	Layer3+Layer4+Layer5+Layer6	0	0	1	1	1	1	0	1.15E-05	0.0001187984871	4.693788774	0.834772862	2166	8.23855287	6256	PCSK1	ENSG00000175426	1.15E-24	1.51E-20	15.09912128	1.60989033	6.337821381
Tle4	Zeng	MH	10842	TLE4	ENSG00000106829	Layer6	0	0	0	0	0	1	0	1.48E-05	0.002894524904	4.627497779	1.045224805	114	6.011312689	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Crim1	Molyneaux	MH	2498	CRIM1	ENSG00000150938	Layer5	0	0	0	0	1	0	0	2.52E-05	0.003451948532	4.484950456	0.4697503587	163	6.778855549	22225	PCP4	ENSG00000183036	1.81E-19	4.05E-15	12.10214777	1.875983047	8.23855287
Cpne7	Zeng	MH	17634	CPNE7	ENSG00000178773	Layer5+Layer6	0	0	0	0	1	1	0	3.00E-05	0.001377649733	4.438065904	0.6052021601	485	5.900918848	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Tle4	Molyneaux	MH	10842	TLE4	ENSG00000106829	Layer5+Layer6	0	0	0	0	1	1	0	5.23E-05	0.00208935382	4.285974537	0.7728169323	559	6.011312689	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Penk	Zeng	MH	10027	PENK	ENSG00000181195	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	5.27E-05	0.002082078521	4.283962464	1.285665916	565	4.324027093	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Syt6	Zeng	MH	1187	SYT6	ENSG00000134207	Layer6	0	0	0	0	0	1	0	0.000114407319	0.01246258459	4.066983155	1.112335914	205	2.662053346	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Th	Zeng	MH	11472	TH	ENSG00000180176	Layer6	0	0	0	0	0	1	0	0.0001525642633	0.01548596619	3.98487136	0.9821246316	220	0.767626416	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Bcl11B	Molyneaux	MH	15716	BCL11B	ENSG00000127152	Layer5+Layer6	0	0	0	0	1	1	0	0.0001782174332	0.005344405851	3.940231073	0.6607272853	744	4.67006681	8095	ETV1	ENSG00000006468	1.30E-22	2.91E-18	13.87646383	1.220289321	6.076554195
Satb2	Molyneaux	MH	3418	SATB2	ENSG00000119042	Layer2+Layer3	0	1	1	0	0	0	0	0.0003004295445	0.004610922446	3.787649777	0.4133424598	1455	7.176008476	6121	CARTPT	ENSG00000164326	5.55E-19	1.24E-14	11.8347748	2.183571906	6.426823464
Foxp2	Zeng+Molyneaux	MH	8689	FOXP2	ENSG00000128573	Layer6	0	0	0	0	0	1	0	0.0003831132641	0.02919898396	3.715449904	1.289542074	293	4.025682659	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Tbr1	Molyneaux	MH	3209	TBR1	ENSG00000136535	Layer2+Layer3+Layer5+Layer6	0	1	1	0	1	1	0	0.0005538278127	0.004896092195	3.604527466	0.4983462142	2526	7.519431364	16123	ARPP19	ENSG00000128989	1.69E-15	3.77E-11	9.975362725	0.4744671465	10.72037601
Crym	Zeng	MH	16941	CRYM	ENSG00000103316	Layer2+Layer3+Layer5+Layer6	0	1	1	0	1	1	0	0.0006189341689	0.005328226262	3.570628694	0.4122388923	2594	8.640983059	16123	ARPP19	ENSG00000128989	1.69E-15	3.77E-11	9.975362725	0.4744671465	10.72037601
Rac3	Molyneaux	MH	18966	RAC3	ENSG00000169750	Layer2+Layer3+Layer5	0	1	1	0	1	0	0	0.0006900317931	0.007036118709	3.537174892	0.4009832427	2190	5.930411679	5702	FAM198B	ENSG00000164125	2.83E-14	6.32E-10	-9.333344326	-0.6865735326	6.689981223
Pdyn	Zeng	H	19409	PDYN	ENSG00000101327	Layer4	0	0	0	1	0	0	0	0.001649865704	0.04987491423	3.262475864	1.109003525	738	1.881798863	13544	VAMP1	ENSG00000139190	2.50E-12	4.94E-08	8.321384077	1.271969521	7.017662699
Kcna1	Zeng	H	13530	KCNA1	ENSG00000111262	Layer3+Layer5+Layer6	0	0	1	0	1	1	0	0.002063478201	0.02478726826	3.189714312	0.4242577533	1859	6.006170972	14498	WSB2	ENSG00000176871	4.28E-10	9.56E-06	7.156157663	0.379212744	9.344481955
Sncg	Zeng	H	13092	SNCG	ENSG00000173267	Layer3+Layer5+Layer6	0	0	1	0	1	1	0	0.002150546364	0.02549831408	3.176146421	0.4479813318	1883	9.286141931	14498	WSB2	ENSG00000176871	4.28E-10	9.56E-06	7.156157663	0.379212744	9.344481955
Syt17	Zeng	MH	16916	SYT17	ENSG00000103528	Layer2+Layer3+Layer5	0	1	1	0	1	0	0	0.002301869133	0.01675124087	3.153696794	0.3211915544	3068	5.971890249	5702	FAM198B	ENSG00000164125	2.83E-14	6.32E-10	-9.333344326	-0.6865735326	6.689981223
Cartpt	Zeng	MH	6121	CARTPT	ENSG00000164326	Layer2	0	1	0	0	0	0	0	0.002589178881	0.04186745372	3.114698074	1.317123055	1381	6.426823464	15403	DACT1	ENSG00000165617	4.68E-15	1.04E-10	9.74141057	2.160282047	4.030209593
Kcnh4	Zeng	H	18344	KCNH4	ENSG00000089558	Layer2+Layer3+Layer6	0	1	1	0	0	1	0	0.003026919646	0.03489630491	3.062459336	0.8790778674	1937	3.361570604	19400	FKBP1A	ENSG00000088832	3.75E-18	8.37E-14	11.38558983	0.6766595516	9.159392026
Chrna7	Zeng	MH	15891	CHRNA7	ENSG00000175344	Layer1+Layer2	1	1	0	0	0	0	0	0.005052690057	0.04238603368	2.886838935	0.544023139	2662	0.5370341144	7564	CNR1	ENSG00000118432	9.30E-24	2.08E-19	14.54727882	1.577708606	6.997688736
Mfge8	Zeng	H	16465	MFGE8	ENSG00000140545	Layer3	0	0	1	0	0	0	0	0.006233167003	0.1525646814	2.812829285	0.4095716733	912	7.06721716	6121	CARTPT	ENSG00000164326	2.07E-12	4.63E-08	8.363742991	2.264233817	6.426823464
Lxn	Molyneaux	MH	4734	LXN	ENSG00000079257	Layer6	0	0	0	0	0	1	0	0.007986907356	0.1735943172	-2.723817251	-0.7462404342	1027	2.42587475	16311	ISLR	ENSG00000129009	7.84E-15	1.75E-10	9.623818433	1.583994202	5.623719162
Adra2a	Zeng	MH	13319	ADRA2A	ENSG00000150594	Layer6+WM	0	0	0	0	0	1	1	0.008514697263	0.02996244951	2.700539416	0.367767118	6346	4.972672759	7750	CTGF	ENSG00000118523	9.37E-28	2.09E-23	17.01205069	1.952739147	5.641160131
