"names","scores","logfoldchanges","pvals","pvals_adj","group"
"AK5",28.012281,5.3140955,3.84236191192791e-160,3.82041595086578e-159,"B cell"
"LOC105868017",27.94768,4.972901,3.41361545187811e-160,3.3951896866549e-159,"B cell"
"LOC105877524",27.88636,4.0940557,7.21320789587534e-159,7.13150196395156e-158,"B cell"
"LOC105862422",27.545528,5.647187,2.82050658144043e-155,2.7370293155099e-154,"B cell"
"PRKCB",27.435036,1.712151,1.77423219219985e-154,1.7159079847767e-153,"B cell"
"LOC105881350",27.420218,5.1460223,3.68072011963221e-155,3.56848646921511e-154,"B cell"
"RPL35A",27.380743,2.5141513,2.6530195037824e-154,2.5634465361754e-153,"B cell"
"LOC109729770",27.364574,2.4570382,5.07036720764553e-155,4.91122657072558e-154,"B cell"
"BTG1",27.348595,1.448138,2.00286173475676e-154,1.93642744401505e-153,"B cell"
"LOC105868175",27.254152,4.150438,2.65858132493441e-152,2.54231377746156e-151,"B cell"
"BLK",27.212606,4.4569197,7.17855513536917e-152,6.83557249200203e-151,"B cell"
"RAB30",27.192028,3.0302625,8.66403444279995e-152,8.24758493227141e-151,"B cell"
"CYSLTR1",27.111557,3.0247514,5.50537026330225e-151,5.22181552156503e-150,"B cell"
"LOC105872708",26.918285,2.147076,5.36021111209488e-150,5.06279652071335e-149,"B cell"
"LIMD2",26.80452,1.4692235,2.33743655482875e-148,2.19523959481666e-147,"B cell"
"ARL5A",26.80338,1.3623515,4.09888022039682e-148,3.84494244907661e-147,"B cell"
"FCHSD2",26.802937,2.8606179,9.10254699574011e-148,8.52033520380614e-147,"B cell"
"HVCN1",26.730883,1.8578776,2.76112940033383e-147,2.57702684464214e-146,"B cell"
"ATG4C",26.675104,2.2031806,1.53011872833342e-146,1.42303751508435e-145,"B cell"
"STK17A",26.650406,1.7277576,2.28110446960795e-146,2.11896582349284e-145,"B cell"
"LOC105864482",26.633215,1.5012511,2.81398811889885e-146,2.61243228162593e-145,"B cell"
"EBF1",26.617514,3.3320642,6.87650053454143e-146,6.37269574537841e-145,"B cell"
"ABLIM1",26.547245,1.6833519,1.32254484402945e-145,1.22313077459712e-144,"B cell"
"IFT57",26.29715,2.1550322,8.93095876827456e-143,8.13075931319166e-142,"B cell"
"RPS24",26.259733,8.799485,5.7397117269445e-143,5.23300280105018e-142,"B cell"
