"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSG00000142700",0,7.43868442270805,0.606,0.006,0,"stem cell","ENSG00000142700"
"ENSG00000007372",0,6.92098011386429,0.97,0.015,0,"stem cell","ENSG00000007372"
"ENSG00000187242",0,6.59028427983163,0.727,0.008,0,"stem cell","ENSG00000187242"
"ENSG00000147689",1.78948205667489e-193,6.23338339398895,0.818,0.025,1.04790279756825e-188,"stem cell","ENSG00000147689"
"ENSG00000177459",3.45939290596714e-164,6.28135482587073,0.788,0.027,2.0257858918053e-159,"stem cell","ENSG00000177459"
"ENSG00000149043",9.22755290911559e-158,6.28470656813076,0.879,0.034,5.403562708049e-153,"stem cell","ENSG00000149043"
"ENSG00000065618",2.12892694580496e-150,6.92307614573202,0.909,0.04,1.24667833019393e-145,"stem cell","ENSG00000065618"
"ENSG00000166670",2.64766007485166e-134,4.89185170415302,0.636,0.021,1.55044326323238e-129,"stem cell","ENSG00000166670"
"ENSG00000162631",7.39027604845712e-130,6.20727443186186,0.515,0.014,4.32767175121601e-125,"stem cell","ENSG00000162631"
"ENSG00000186442",1.02729019722e-122,3.46138089239448,0.606,0.021,6.0157086659006e-118,"stem cell","ENSG00000186442"
"ENSG00000073282",1.76908920437803e-122,5.72973568211067,0.788,0.036,1.03596094719173e-117,"stem cell","ENSG00000073282"
"ENSG00000131746",4.59557687329666e-118,6.61792057992432,0.818,0.04,2.69112386123379e-113,"stem cell","ENSG00000131746"
"ENSG00000186081",6.09108859456298e-116,5.11102242508646,1,0.064,3.56688057009013e-111,"stem cell","ENSG00000186081"
"ENSG00000108602",7.22124928723244e-115,5.34025345479553,0.97,0.058,4.22869137011044e-110,"stem cell","ENSG00000108602"
"ENSG00000186847",3.04121831712059e-107,3.78869097242403,0.939,0.057,1.78090703432265e-102,"stem cell","ENSG00000186847"
"ENSG00000230937",4.4665808065196e-96,4.69352524885633,1,0.076,2.61558505448981e-91,"stem cell","ENSG00000230937"
"ENSG00000092295",1.59870589214993e-95,2.76369548549389,0.636,0.029,9.36186183384076e-91,"stem cell","ENSG00000092295"
"ENSG00000137699",4.56167993294119e-94,4.38117177738025,0.97,0.073,2.67127415193103e-89,"stem cell","ENSG00000137699"
"ENSG00000171346",1.04654276227292e-93,5.82408340224108,0.909,0.065,6.128449761594e-89,"stem cell","ENSG00000171346"
"ENSG00000114270",2.41678328085831e-86,6.50121121940216,0.606,0.03,1.41524412143782e-81,"stem cell","ENSG00000114270"
"ENSG00000137975",3.41309720518935e-86,4.66263692924908,0.667,0.035,1.99867559238683e-81,"stem cell","ENSG00000137975"
"ENSG00000134762",7.9576549832911e-86,4.74454527169826,0.788,0.051,4.65992318166544e-81,"stem cell","ENSG00000134762"
"ENSG00000206075",9.81532482788297e-84,3.90861686803911,0.818,0.055,5.74775606595999e-79,"stem cell","ENSG00000206075"
"ENSG00000134760",1.95011646925285e-82,4.44310345879809,0.606,0.031,1.14196870322978e-77,"stem cell","ENSG00000134760"
"ENSG00000163331",1.54325894402468e-81,3.42209093501275,0.727,0.045,9.0371700503141e-77,"stem cell","ENSG00000163331"
"ENSG00000137648",2.92930881108034e-79,5.60550133841955,0.727,0.047,1.71537394668054e-74,"stem cell","ENSG00000137648"
"ENSG00000169435",5.2586943498498e-78,7.04878253279409,0.788,0.058,3.07943882432854e-73,"stem cell","ENSG00000169435"
"ENSG00000068078",4.75961358899332e-77,7.06388751854105,0.818,0.063,2.7871821215786e-72,"stem cell","ENSG00000068078"
"ENSG00000134121",2.39208097947435e-76,6.73616730832072,0.818,0.062,1.40077870077039e-71,"stem cell","ENSG00000134121"
"ENSG00000114638",7.7490259059515e-76,4.58906118348386,0.545,0.027,4.53775208026614e-71,"stem cell","ENSG00000114638"
"ENSG00000162552",3.73670805509046e-75,5.21818848947352,0.606,0.034,2.18817886998042e-70,"stem cell","ENSG00000162552"
"ENSG00000256812",6.84914825762785e-73,5.56823838771897,0.576,0.031,4.01079272818429e-68,"stem cell","ENSG00000256812"
"ENSG00000163347",9.89910717311253e-71,3.32923571505755,0.879,0.077,5.79681816950297e-66,"stem cell","ENSG00000163347"
"ENSG00000196878",1.45116961260656e-67,6.00618304470279,0.848,0.078,8.49790413446276e-63,"stem cell","ENSG00000196878"
"ENSG00000129194",3.2867073670974e-65,3.33009782130219,0.667,0.047,1.92466296709857e-60,"stem cell","ENSG00000129194"
"ENSG00000137203",1.74691305956766e-63,5.67075499552954,0.697,0.054,1.02297481855223e-58,"stem cell","ENSG00000137203"
"ENSG00000196754",4.66286736235176e-63,2.01576826520665,0.909,0.089,2.73052849871957e-58,"stem cell","ENSG00000196754"
"ENSG00000144857",5.74477422234043e-62,5.30930451798222,0.879,0.09,3.36408233686033e-57,"stem cell","ENSG00000144857"
"ENSG00000168077",8.28615452988949e-62,6.20440179295171,0.697,0.055,4.85228923115798e-57,"stem cell","ENSG00000168077"
"ENSG00000175793",8.86183212521892e-62,2.82566529617128,1,0.118,5.18940027420695e-57,"stem cell","ENSG00000175793"
"ENSG00000174564",1.32236477570031e-59,5.36762712366782,0.515,0.031,7.74363589002343e-55,"stem cell","ENSG00000174564"
"ENSG00000115884",1.2114300491968e-56,4.83030402500281,0.939,0.12,7.09401322509155e-52,"stem cell","ENSG00000115884"
"ENSG00000161798",1.8390197394459e-53,2.34905049192269,0.667,0.054,1.07691156922213e-48,"stem cell","ENSG00000161798"
"ENSG00000117394",1.88730583360827e-50,5.73362026333718,0.97,0.149,1.10518742310267e-45,"stem cell","ENSG00000117394"
"ENSG00000101144",2.53956713329809e-49,4.81400534372518,0.515,0.037,1.48714511758803e-44,"stem cell","ENSG00000101144"
"ENSG00000184292",8.14127004835597e-47,2.51932680440751,1,0.146,4.76744632761677e-42,"stem cell","ENSG00000184292"
"ENSG00000164171",9.98073499213213e-47,2.7035421330653,0.788,0.091,5.84461860404266e-42,"stem cell","ENSG00000164171"
"ENSG00000102554",2.65198846888155e-45,3.8210412069091,0.97,0.154,1.55297792749235e-40,"stem cell","ENSG00000102554"
"ENSG00000135069",7.87667876897393e-45,2.39762773761358,0.697,0.074,4.61250432032344e-40,"stem cell","ENSG00000135069"
"ENSG00000005884",7.08085063905284e-44,3.51569738809946,0.788,0.097,4.14647532572295e-39,"stem cell","ENSG00000005884"
"ENSG00000126368",9.98551883763975e-44,5.25412583175652,0.758,0.092,5.84741997613346e-39,"stem cell","ENSG00000126368"
"ENSG00000183421",1.72836780214149e-43,5.46032773966894,0.515,0.042,1.01211490125603e-38,"stem cell","ENSG00000183421"
"ENSG00000163435",9.53067910357677e-43,3.28814293132005,0.97,0.152,5.58107037626352e-38,"stem cell","ENSG00000163435"
"ENSG00000133477",3.06955534431645e-42,4.07248161104007,0.515,0.043,1.79750091407827e-37,"stem cell","ENSG00000133477"
"ENSG00000171345",3.89020180755299e-42,2.5861948150769,1,0.162,2.27806327648495e-37,"stem cell","ENSG00000171345"
"ENSG00000089356",4.8167956463586e-42,2.46264743258241,0.818,0.109,2.82066736255113e-37,"stem cell","ENSG00000089356"
"ENSG00000175906",9.74624108012763e-42,3.14135726802077,0.788,0.108,5.70730131411194e-37,"stem cell","ENSG00000175906"
"ENSG00000145824",1.36726915047092e-41,4.80628279072751,0.848,0.121,8.00659141824265e-37,"stem cell","ENSG00000145824"
"ENSG00000196220",2.75310414445028e-41,2.42715345081877,0.667,0.071,1.61219025594864e-36,"stem cell","ENSG00000196220"
"ENSG00000132470",1.23598505616687e-39,3.89533116496565,0.727,0.09,7.23780489040756e-35,"stem cell","ENSG00000132470"
"ENSG00000189143",3.20042058080058e-39,2.10579232635951,0.97,0.16,1.87413428791101e-34,"stem cell","ENSG00000189143"
"ENSG00000110400",3.63839525005157e-39,2.04796526065508,0.667,0.075,2.1306078744777e-34,"stem cell","ENSG00000110400"
"ENSG00000165474",4.28888059011336e-39,4.53041825078432,0.576,0.057,2.51152558476448e-34,"stem cell","ENSG00000165474"
"ENSG00000167880",4.73056483630382e-39,3.62220151269403,0.515,0.045,2.77017146249115e-34,"stem cell","ENSG00000167880"
"ENSG00000108352",5.79578652879067e-39,2.54587929056466,0.545,0.051,3.39395463339453e-34,"stem cell","ENSG00000108352"
"ENSG00000155066",1.1774978724513e-38,5.3110644200901,0.545,0.052,6.89530979128756e-34,"stem cell","ENSG00000155066"
"ENSG00000175183",2.02367687318099e-37,4.1109126063388,0.879,0.154,1.18504494016605e-32,"stem cell","ENSG00000175183"
"ENSG00000165272",2.87954200460981e-37,4.17709742661958,0.97,0.198,1.68623100247946e-32,"stem cell","ENSG00000165272"
"ENSG00000167644",2.69291953512554e-36,2.17010085477463,0.788,0.11,1.57694675057417e-31,"stem cell","ENSG00000167644"
"ENSG00000096696",5.49455889138357e-36,2.7914931762602,0.909,0.175,3.21755874120531e-31,"stem cell","ENSG00000096696"
"ENSG00000016402",2.89075442993946e-35,3.65668649899631,0.515,0.051,1.69279688662825e-30,"stem cell","ENSG00000016402"
"ENSG00000149573",3.01919948736345e-35,3.42048455717432,0.818,0.133,1.76801302780516e-30,"stem cell","ENSG00000149573"
"ENSG00000163629",5.78725102749428e-35,4.07359153096075,0.788,0.125,3.38895632919038e-30,"stem cell","ENSG00000163629"
"ENSG00000112378",1.35041462105398e-33,2.94371995079069,1,0.258,7.90789297942998e-29,"stem cell","ENSG00000112378"
"ENSG00000141738",1.54803069590598e-33,5.02226094192599,0.545,0.06,9.06511295215585e-29,"stem cell","ENSG00000141738"
"ENSG00000143995",1.08459724346119e-32,4.26101946873426,0.636,0.084,6.35129299798436e-28,"stem cell","ENSG00000143995"
"ENSG00000144063",5.27880062816591e-32,1.91332875203174,0.697,0.097,3.09121285984767e-27,"stem cell","ENSG00000144063"
"ENSG00000154639",6.10921445175023e-32,2.79956356054928,0.758,0.119,3.57749489080041e-27,"stem cell","ENSG00000154639"
"ENSG00000115457",2.21826383395864e-31,2.99344148925777,0.909,0.187,1.29899311852784e-26,"stem cell","ENSG00000115457"
"ENSG00000120885",2.63897445496722e-31,5.02620218828121,1,0.337,1.54535705108426e-26,"stem cell","ENSG00000120885"
"ENSG00000181019",2.98451875828563e-31,4.25558928624885,0.818,0.155,1.74770433966448e-26,"stem cell","ENSG00000181019"
"ENSG00000120549",3.3236488373427e-31,2.77569602657847,0.848,0.163,1.94629552265951e-26,"stem cell","ENSG00000120549"
"ENSG00000146648",1.87960899883228e-30,3.30705445228022,0.909,0.205,1.1006802336262e-25,"stem cell","ENSG00000146648"
"ENSG00000185567",3.6451734741164e-30,2.57542994507218,0.636,0.088,2.13457713470782e-25,"stem cell","ENSG00000185567"
"ENSG00000151914",5.287498978541e-30,4.48116176486097,1,0.311,3.09630652684382e-25,"stem cell","ENSG00000151914"
"ENSG00000135378",6.57151297635774e-30,3.67394974349646,0.758,0.135,3.84821228382533e-25,"stem cell","ENSG00000135378"
"ENSG00000169252",1.15133932927304e-29,2.31609100381103,0.727,0.117,6.74212797829002e-25,"stem cell","ENSG00000169252"
"ENSG00000053747",1.17688576616489e-29,3.17559919712367,0.576,0.075,6.89172535808495e-25,"stem cell","ENSG00000053747"
"ENSG00000175984",1.65696921539191e-29,3.14637672958952,0.576,0.074,9.70304602841347e-25,"stem cell","ENSG00000175984"
"ENSG00000104413",2.26480232389809e-29,5.2141631004129,0.576,0.075,1.32624559285148e-24,"stem cell","ENSG00000104413"
"ENSG00000074410",2.69252264449909e-29,4.13211888082475,0.606,0.084,1.57671433539222e-24,"stem cell","ENSG00000074410"
"ENSG00000117595",1.13469303309676e-28,3.2703160326322,0.636,0.096,6.64464893251132e-24,"stem cell","ENSG00000117595"
"ENSG00000173801",5.38672654633994e-28,2.35691838990518,0.879,0.204,3.15441319827121e-23,"stem cell","ENSG00000173801"
"ENSG00000066468",6.09790454363458e-28,2.90724739695053,0.515,0.063,3.57087192170697e-23,"stem cell","ENSG00000066468"
"ENSG00000204580",1.73100925030129e-27,5.02378513806275,0.667,0.108,1.01366170688393e-22,"stem cell","ENSG00000204580"
"ENSG00000148671",1.8494409853486e-27,2.17337305653162,1,0.284,1.08301414661028e-22,"stem cell","ENSG00000148671"
"ENSG00000139263",4.06504729369398e-27,4.57797535409569,0.576,0.082,2.38045104471426e-22,"stem cell","ENSG00000139263"
"ENSG00000185033",1.71495817202085e-26,2.76738613394552,0.697,0.121,1.00426235595369e-21,"stem cell","ENSG00000185033"
"ENSG00000139324",5.14940995409338e-26,2.15347095089306,0.697,0.127,3.01544297501754e-21,"stem cell","ENSG00000139324"
"ENSG00000134107",1.53197639963451e-25,2.98323113344915,0.97,0.303,8.97110059861974e-21,"stem cell","ENSG00000134107"
"ENSG00000155850",2.19594419132099e-25,2.72909751767464,0.818,0.177,1.28592295899566e-20,"stem cell","ENSG00000155850"
"ENSG00000083857",3.03156665415349e-25,5.08250102501343,0.667,0.115,1.77525511700574e-20,"stem cell","ENSG00000083857"
"ENSG00000120708",3.30809136928595e-25,5.52700899977318,0.758,0.163,1.93718522494016e-20,"stem cell","ENSG00000120708"
"ENSG00000135373",6.24651474607297e-25,2.3607867387158,0.727,0.131,3.65789657015287e-20,"stem cell","ENSG00000135373"
"ENSG00000164687",1.10969765020911e-24,2.39590266036173,1,0.32,6.4982784698595e-20,"stem cell","ENSG00000164687"
"ENSG00000110723",2.37076226973825e-24,4.69731314658004,0.515,0.073,1.38829467753602e-19,"stem cell","ENSG00000110723"
"ENSG00000166145",5.71815609310553e-24,2.94016345042635,0.727,0.145,3.34849502656167e-19,"stem cell","ENSG00000166145"
"ENSG00000154153",5.36684136674089e-23,2.05731630598877,0.727,0.141,3.1427686359498e-18,"stem cell","ENSG00000154153"
"ENSG00000151208",6.28609382613613e-23,1.63760886476539,0.576,0.094,3.68107368364706e-18,"stem cell","ENSG00000151208"
"ENSG00000173848",8.75113563649726e-23,2.96335048184768,0.788,0.194,5.12457751737643e-18,"stem cell","ENSG00000173848"
"ENSG00000150782",9.69577597814127e-23,2.57708320784936,0.758,0.165,5.67774945503974e-18,"stem cell","ENSG00000150782"
"ENSG00000101384",2.06682671028637e-22,1.91249596538902,0.788,0.182,1.2103130532766e-17,"stem cell","ENSG00000101384"
"ENSG00000177570",3.29333802687166e-22,1.63032173783491,0.545,0.083,1.92854581515577e-17,"stem cell","ENSG00000177570"
"ENSG00000005469",3.58738698882831e-22,3.95004029625806,0.606,0.108,2.10073794678797e-17,"stem cell","ENSG00000005469"
"ENSG00000152661",3.59291020205393e-22,3.75452507901755,0.697,0.144,2.10397228522076e-17,"stem cell","ENSG00000152661"
"ENSG00000184363",4.50003908756778e-22,1.89872092647511,0.515,0.077,2.63517788928882e-17,"stem cell","ENSG00000184363"
"ENSG00000175866",9.37178684435507e-22,3.83179021151178,0.727,0.163,5.48802465818589e-17,"stem cell","ENSG00000175866"
"ENSG00000107262",1.03747200108515e-21,3.38806139916831,0.97,0.481,6.07533229115454e-17,"stem cell","ENSG00000107262"
"ENSG00000137693",3.02530557214529e-21,4.01426402919866,0.758,0.185,1.77158868999256e-16,"stem cell","ENSG00000137693"
"ENSG00000104881",3.26531556551233e-21,2.52530816257868,0.545,0.09,1.91213614200837e-16,"stem cell","ENSG00000104881"
"ENSG00000119986",4.81847812117316e-21,4.49583170178888,0.636,0.131,2.82165260297779e-16,"stem cell","ENSG00000119986"
"ENSG00000159788",6.27329877301922e-21,2.25247964599557,0.636,0.125,3.67358102849232e-16,"stem cell","ENSG00000159788"
"ENSG00000131389",8.99464254932864e-21,3.7331105342685,0.788,0.202,5.26717273046136e-16,"stem cell","ENSG00000131389"
"ENSG00000107957",9.04719916395453e-21,2.5529447212705,0.727,0.171,5.29794935842014e-16,"stem cell","ENSG00000107957"
"ENSG00000142949",2.13319433162641e-20,2.66217575921479,0.697,0.153,1.24917726865711e-15,"stem cell","ENSG00000142949"
"ENSG00000142765",2.20522258267141e-20,2.13914989045947,0.758,0.177,1.29135629218655e-15,"stem cell","ENSG00000142765"
"ENSG00000091409",3.42057351107332e-20,1.97283685869663,0.848,0.226,2.00305364234942e-15,"stem cell","ENSG00000091409"
"ENSG00000170412",4.11151042867067e-20,2.34084223182769,0.606,0.111,2.40765939192526e-15,"stem cell","ENSG00000170412"
"ENSG00000092068",6.04893617923624e-20,2.55809205367292,0.636,0.133,3.54219653719895e-15,"stem cell","ENSG00000092068"
"ENSG00000116729",6.08246287828289e-20,1.81835978336619,0.758,0.19,3.56182943689368e-15,"stem cell","ENSG00000116729"
"ENSG00000197077",7.46988425738258e-20,2.32106623631733,0.545,0.094,4.37428952228067e-15,"stem cell","ENSG00000197077"
"ENSG00000124145",5.55320787953985e-19,1.52575597226376,0.818,0.224,3.25190300217974e-14,"stem cell","ENSG00000124145"
"ENSG00000167693",6.33614726842255e-19,4.02494489313159,0.545,0.1,3.71038447891556e-14,"stem cell","ENSG00000167693"
"ENSG00000099139",7.02840975634632e-19,2.93804242213086,0.545,0.099,4.11576646921884e-14,"stem cell","ENSG00000099139"
"ENSG00000106211",8.26588265539819e-19,1.97008891383197,1,0.554,4.84041822417462e-14,"stem cell","ENSG00000106211"
"ENSG00000165092",8.71199036839309e-19,2.39579374727655,0.848,0.26,5.10165443982731e-14,"stem cell","ENSG00000165092"
"ENSG00000159228",1.01026497977838e-18,2.64381025985152,0.818,0.264,5.91601069508419e-14,"stem cell","ENSG00000159228"
"ENSG00000130821",1.3730712551529e-18,2.7977512996902,0.545,0.103,8.04056796304984e-14,"stem cell","ENSG00000130821"
"ENSG00000105976",1.55037362123364e-18,2.27287610036468,0.515,0.087,9.07883288858206e-14,"stem cell","ENSG00000105976"
"ENSG00000138119",1.58836492604488e-18,2.69135690735369,0.727,0.201,9.3013061704262e-14,"stem cell","ENSG00000138119"
"ENSG00000072210",3.81059350533031e-18,2.71722254115651,0.788,0.236,2.23144545078637e-13,"stem cell","ENSG00000072210"
"ENSG00000130702",6.47449103118582e-18,2.26992763865319,0.545,0.102,3.7913972029521e-13,"stem cell","ENSG00000130702"
"ENSG00000182871",6.86749106930874e-18,2.03819832591631,0.727,0.19,4.02153409527651e-13,"stem cell","ENSG00000182871"
"ENSG00000069849",6.90893920622233e-18,1.68965055979935,1,0.489,4.04580570977173e-13,"stem cell","ENSG00000069849"
"ENSG00000063660",1.09356380297735e-17,4.7775252359972,0.515,0.092,6.40380027385504e-13,"stem cell","ENSG00000063660"
"ENSG00000102471",1.5747108389847e-17,5.14081579699029,0.667,0.161,9.22134920201052e-13,"stem cell","ENSG00000102471"
"ENSG00000116679",1.63634202070303e-17,3.02021326552367,0.939,0.392,9.5822552390349e-13,"stem cell","ENSG00000116679"
"ENSG00000100994",1.91574810458404e-17,2.97625104074035,0.636,0.15,1.12184293256337e-12,"stem cell","ENSG00000100994"
"ENSG00000138162",2.32788683982942e-17,2.31849866161126,0.606,0.132,1.36318725453571e-12,"stem cell","ENSG00000138162"
"ENSG00000069020",2.56532360484795e-17,1.61451481606881,0.788,0.218,1.50222784976291e-12,"stem cell","ENSG00000069020"
"ENSG00000158769",3.02632743428546e-17,2.45013195312264,0.697,0.182,1.77218708224322e-12,"stem cell","ENSG00000158769"
"ENSG00000171867",4.20085919552291e-17,1.80504725114067,0.909,0.386,2.45998113630626e-12,"stem cell","ENSG00000171867"
"ENSG00000170089",5.88442806010996e-17,2.30797881164788,0.606,0.139,3.44586222771979e-12,"stem cell","ENSG00000170089"
"ENSG00000153944",9.4892524465148e-17,2.82658893201077,0.848,0.284,5.5568113401546e-12,"stem cell","ENSG00000153944"
"ENSG00000010278",1.21411163698962e-16,1.61420772703612,0.939,0.361,7.10971633504753e-12,"stem cell","ENSG00000010278"
"ENSG00000171603",1.60364691881965e-16,3.92393879907531,0.758,0.25,9.39079599191601e-12,"stem cell","ENSG00000171603"
"ENSG00000128274",1.74021318941186e-16,1.56612278334388,0.576,0.119,1.01905144158769e-11,"stem cell","ENSG00000128274"
"ENSG00000167642",2.68498583063329e-16,1.80795117619626,0.879,0.328,1.57230085256055e-11,"stem cell","ENSG00000167642"
"ENSG00000117525",7.03549161568946e-16,2.66000093219889,0.667,0.166,4.11991353523159e-11,"stem cell","ENSG00000117525"
"ENSG00000114315",1.00167789932254e-15,2.6272633458299,0.788,0.244,5.86572561064289e-11,"stem cell","ENSG00000114315"
"ENSG00000104419",1.77613327325415e-15,1.89354796693718,0.879,0.364,1.0400858834849e-10,"stem cell","ENSG00000104419"
"ENSG00000150054",1.78562212783291e-15,1.73033213014234,0.545,0.116,1.04564246183767e-10,"stem cell","ENSG00000150054"
"ENSG00000162688",2.11411665596096e-15,6.11200112418353,0.697,0.2,1.23800557256418e-10,"stem cell","ENSG00000162688"
"ENSG00000187193",2.80554598176939e-15,1.98770314324551,0.909,0.409,1.64289967146434e-10,"stem cell","ENSG00000187193"
"ENSG00000099968",3.27886573989344e-15,3.64298744338653,0.636,0.183,1.9200709886242e-10,"stem cell","ENSG00000099968"
"ENSG00000054654",5.07272612496329e-15,1.58051155317772,0.97,0.429,2.97053769151726e-10,"stem cell","ENSG00000054654"
"ENSG00000168528",5.23034742597069e-15,2.73473456071463,0.576,0.137,3.06283914917418e-10,"stem cell","ENSG00000168528"
"ENSG00000142627",5.37038714541101e-15,3.62903631916561,0.515,0.106,3.14484500848123e-10,"stem cell","ENSG00000142627"
"ENSG00000065361",1.08971456821466e-14,3.15361102062024,0.515,0.107,6.38125954000821e-10,"stem cell","ENSG00000065361"
"ENSG00000074800",1.37120089471186e-14,1.81972793863217,1,0.713,8.02961531934317e-10,"stem cell","ENSG00000074800"
"ENSG00000197530",1.67172845645161e-14,1.75048888214617,0.606,0.151,9.78947466813498e-10,"stem cell","ENSG00000197530"
"ENSG00000134531",2.3306640108686e-14,1.56295920068696,0.879,0.299,1.36481353812454e-09,"stem cell","ENSG00000134531"
"ENSG00000162522",4.36248829717125e-14,3.39971106894347,0.515,0.117,2.55462952194051e-09,"stem cell","ENSG00000162522"
"ENSG00000145860",4.90046070188341e-14,2.49840389522556,0.848,0.356,2.86966078241591e-09,"stem cell","ENSG00000145860"
"ENSG00000163558",5.62094133701369e-14,2.23753086807444,0.636,0.179,3.29156703754185e-09,"stem cell","ENSG00000163558"
"ENSG00000166949",6.07536354171832e-14,2.74543731788059,0.697,0.212,3.55767213639483e-09,"stem cell","ENSG00000166949"
"ENSG00000102908",6.57508335230653e-14,1.97212229573902,0.848,0.31,3.85030306027718e-09,"stem cell","ENSG00000102908"
"ENSG00000067225",7.42724037092238e-14,1.7153419916708,0.97,0.635,4.34931768880843e-09,"stem cell","ENSG00000067225"
"ENSG00000139116",9.22253820232624e-14,2.39502714647115,0.606,0.155,5.40062614590023e-09,"stem cell","ENSG00000139116"
"ENSG00000154447",1.17251186306725e-13,5.32961405752767,0.515,0.123,6.86611221893548e-09,"stem cell","ENSG00000154447"
"ENSG00000115963",1.19596324922301e-13,2.29769444881547,0.758,0.235,7.00344119112502e-09,"stem cell","ENSG00000115963"
"ENSG00000198363",3.49995091848343e-13,2.80946012902442,0.848,0.381,2.04953625835471e-08,"stem cell","ENSG00000198363"
"ENSG00000169242",4.63872369238463e-13,1.89110162898566,0.576,0.143,2.71639020702351e-08,"stem cell","ENSG00000169242"
"ENSG00000125968",4.86332994139378e-13,1.58587764900234,0.788,0.265,2.84791738038078e-08,"stem cell","ENSG00000125968"
"ENSG00000164904",7.88693915064698e-13,3.66094460219079,0.576,0.16,4.61851269722736e-08,"stem cell","ENSG00000164904"
"ENSG00000163399",1.20137261327829e-12,1.56071652989476,0.939,0.577,7.03511788609636e-08,"stem cell","ENSG00000163399"
"ENSG00000118200",1.23108356425134e-12,2.84578060698819,0.606,0.164,7.20910224389943e-08,"stem cell","ENSG00000118200"
"ENSG00000094975",1.45220437633002e-12,2.92115047005454,0.727,0.251,8.50396360735098e-08,"stem cell","ENSG00000094975"
"ENSG00000163931",4.30130523071765e-12,2.23324767744291,0.939,0.559,2.51880133005595e-07,"stem cell","ENSG00000163931"
"ENSG00000141232",5.85010809324515e-12,1.644730080124,0.909,0.43,3.42576479832343e-07,"stem cell","ENSG00000141232"
"ENSG00000185963",7.36315808696556e-12,2.38048365773673,0.697,0.229,4.31179174414616e-07,"stem cell","ENSG00000185963"
"ENSG00000142192",7.39425002524961e-12,1.61718550698097,0.909,0.421,4.32999887228592e-07,"stem cell","ENSG00000142192"
"ENSG00000132326",1.22631215815359e-11,2.5774468720946,0.545,0.149,7.18116136693164e-07,"stem cell","ENSG00000132326"
"ENSG00000144560",2.26184150275375e-11,1.78128182142411,0.758,0.299,1.32451176559757e-06,"stem cell","ENSG00000144560"
"ENSG00000156515",2.31730383540026e-11,1.64155356933998,0.758,0.279,1.35698995297204e-06,"stem cell","ENSG00000156515"
"ENSG00000183955",2.46807670567776e-11,1.54297321336426,0.636,0.211,1.44528103807784e-06,"stem cell","ENSG00000183955"
"ENSG00000205730",4.7340548873919e-11,1.76803811051247,0.697,0.231,2.77221520150782e-06,"stem cell","ENSG00000205730"
"ENSG00000082641",5.4708085495656e-11,2.55071881507959,0.727,0.274,3.20365077854012e-06,"stem cell","ENSG00000082641"
"ENSG00000161011",7.04602002064307e-11,1.9946384428678,0.939,0.728,4.12607886388838e-06,"stem cell","ENSG00000161011"
"ENSG00000170004",8.82234418003876e-11,1.76132497638156,0.697,0.263,5.1662765283889e-06,"stem cell","ENSG00000170004"
"ENSG00000175416",1.50349097629099e-10,1.71941915661619,0.848,0.443,8.80429280806239e-06,"stem cell","ENSG00000175416"
"ENSG00000177425",2.83864676951015e-10,1.86400203178539,0.636,0.209,1.66228316175745e-05,"stem cell","ENSG00000177425"
"ENSG00000112715",4.44712267193475e-10,3.98642681463095,0.667,0.267,2.60419056545827e-05,"stem cell","ENSG00000112715"
"ENSG00000197312",5.92209606546121e-10,1.99786570537505,0.606,0.194,3.46792023497343e-05,"stem cell","ENSG00000197312"
"ENSG00000072364",6.64092084554729e-10,1.53988732383258,0.909,0.476,3.88885683794404e-05,"stem cell","ENSG00000072364"
"ENSG00000143013",7.3481028190933e-10,1.83339058614237,0.818,0.388,4.30297552983285e-05,"stem cell","ENSG00000143013"
"ENSG00000169641",1.03544192955894e-09,2.06429661439691,0.667,0.252,6.06344439530422e-05,"stem cell","ENSG00000169641"
"ENSG00000101040",1.39795891530504e-09,2.1441571776678,0.667,0.266,8.1863076121348e-05,"stem cell","ENSG00000101040"
"ENSG00000076604",1.45472540307198e-09,3.73534358460647,0.545,0.161,8.51872648784924e-05,"stem cell","ENSG00000076604"
"ENSG00000240849",2.09425470159609e-09,1.90567346071425,0.515,0.151,0.000122637461070765,"stem cell","ENSG00000240849"
"ENSG00000153113",2.20074357526376e-09,1.50660570201914,0.909,0.693,0.000128873343023871,"stem cell","ENSG00000153113"
"ENSG00000171940",2.85785015461248e-09,1.79475843522452,0.697,0.277,0.000167352847203952,"stem cell","ENSG00000171940"
"ENSG00000100852",4.66505204962528e-09,1.67227223530426,0.758,0.364,0.000273180782974007,"stem cell","ENSG00000100852"
"ENSG00000160271",4.79753661778933e-09,2.30730255819919,0.576,0.215,0.000280938946801126,"stem cell","ENSG00000160271"
"ENSG00000166483",7.41756431100883e-09,2.25376739787397,0.545,0.195,0.000434365148488366,"stem cell","ENSG00000166483"
"ENSG00000114541",9.66834652843677e-09,1.55372120818227,0.606,0.219,0.000566168704358729,"stem cell","ENSG00000114541"
"ENSG00000162772",1.15436574219214e-08,1.82658340334459,0.788,0.363,0.000675985034970295,"stem cell","ENSG00000162772"
"ENSG00000130449",2.03053103867465e-08,4.14366900296888,0.606,0.205,0.00118905867093749,"stem cell","ENSG00000130449"
"ENSG00000144136",2.41277577066195e-08,2.73940252679633,0.636,0.278,0.00141289736354193,"stem cell","ENSG00000144136"
