DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000896,647V,647V_URINARY_TRACT,Male,Bladder Cancer,Carcinoma,urinary_tract,bladder_carcinoma,,urinary_tract,CST6,KRT81,FN1,KLK5,IGFBP3,KRT7,KISS1,RPS4Y1,KRT17,KLK6
ACH-000897,FTC238,FTC238_THYROID,Male,Thyroid Cancer,"Carcinoma, follicular",thyroid,thyroid_carcinoma,follicular,thyroid,SPANXB1,PAGE5,GREM1,CGB8,MAGEC2,PDPN,IL11,TMPRSS15,PTGIS,SERPINE1
ACH-000898,SNU719,SNU719_STOMACH,Male,Gastric Cancer,"Adenocarcinoma, tubular",gastric,gastric_adenocarcinoma,tubular,gastric,ALDH3A1,LYZ,LGALS4,REG4,AGR2,GPX2,S100A14,CYP3A5,TSPAN8,CTAG2
ACH-000899,WM88,WM88_SKIN,Male,Skin Cancer,Melanoma,skin,melanoma,,skin,S100B,XAGE1B,HLA-DRA,MIA,S100A1,CTAG2,HLA-DRB5,PLP1,TF,HLA-DRB1
ACH-000900,NCIH23,NCIH23_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CCL20,TFPI2,XAGE1B,MAGEA4,XAGE1A,CCL2,C15orf48,SPOCK2,TPM2,OLR1
ACH-000901,HCC1359,HCC1359_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",lung,NSCLC,NSCLC_large_cell,lung,MMP1,IL6,CSF3,CXCL1,TFPI2,LY6K,CXCL8,IL24,IL1B,MMP3
ACH-000902,CAL148,CAL148_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERneg_HER2neg,breast,APOD,SPDEF,CALML5,PPP1R1B,SELENBP1,CEACAM5,FOXA1,TFAP2B,AZGP1,MUCL1
ACH-000903,FTC133,FTC133_THYROID,Male,Thyroid Cancer,"Carcinoma, anaplastic",thyroid,thyroid_carcinoma,anaplastic,thyroid,PSG1,THY1,CD36,COL1A2,RGS1,CD70,SLC38A5,INHBA,PTN,COL8A1
ACH-000904,NCIH2106,NCIH2106_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",lung,NSCLC,NSCLC_large_cell,lung,PCP4,NEFM,CCER2,HEPACAM2,KCNH6,POU4F3,MYCN,DDX1,CHGA,CLEC18B
ACH-000905,5637,5637_URINARY_TRACT,Male,Bladder Cancer,,urinary_tract,bladder_carcinoma,,urinary_tract,CSF3,IL1B,MMP1,SERPINB2,KRT6A,LCN2,IL1A,KRT7,SPRR2A,CSF2
ACH-000906,ES2,ES2_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, clear cell",ovary,ovary_adenocarcinoma,clear_cell,ovary,MMP1,CXCL5,KRTAP2-3,SERPINB2,ESM1,KRT81,CPA4,PTX3,PLAT,LOX
ACH-000907,SNU349,SNU349_KIDNEY,Male,Kidney Cancer,"Renal Carcinoma, clear cell",kidney,renal_cell_carcinoma,clear_cell,kidney,NDUFA4L2,IGFBP3,IGFBP5,COL8A1,C5orf46,SERPINE1,LOX,TGFBI,SPOCK1,PNCK
ACH-000908,SNU520,SNU520_STOMACH,Female,Gastric Cancer,Adenocarcinoma,gastric,gastric_adenocarcinoma,,gastric,AGR2,LYZ,TSPAN8,LGALS4,MUC6,AGR3,TFF2,REG4,SULT1C2,PPP1R1B
ACH-000909,JHUEM2,JHUEM2_ENDOMETRIUM,Female,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,uterus,endometrial_adenocarcinoma,,uterus,EDN3,WIF1,MT1G,ACTA2,COL1A2,APCDD1,NKD1,GAD1,MYCN,MT1A
