DepMap_ID,stripped_cell_line_name,CCLE_Name,sex,primary_disease,Subtype,lineage.x,lineage_subtype,lineage_sub_subtype,lineage.y,1st_rank_DEG,2nd_rank_DEG,3rd_rank_DEG,4th_rank_DEG,5th_rank_DEG,6th_rank_DEG,7th_rank_DEG,8th_rank_DEG,9th_rank_DEG,10th_rank_DEG
ACH-000001,NIHOVCAR3,NIHOVCAR3_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,SPON1,SLC34A2,CDH6,CA2,CLDN6,WFDC2,UPK1B,SPOCK2,MEOX1,RHEX
ACH-000002,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",blood,AML,M3,blood,DEFA1,MPO,PRG2,ELANE,PRTN3,DEFA1B,AIF1,DEFA3,AZU1,CTSG
ACH-000003,CACO2,CACO2_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,APOA2,APOA1,PAGE4,NPPB,VTN,SPINK1,VIL1,IGF2,XAGE3,APOE
ACH-000004,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",blood,AML,M6,blood,HBG2,HBA1,HDC,CA1,FCER1A,PRG2,HBE1,AIF1,MYL4,ITGA2B
ACH-000005,HEL9217,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",blood,AML,M6,blood,HBG2,CA1,HBA1,FCER1A,AIF1,MYL4,HDC,MS4A3,SAMSN1,PLEK
ACH-000006,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",blood,AML,M5,blood,CTSG,ELANE,PPP1R27,LYZ,AZU1,ALOX5AP,FLT3,SRGN,LAIR1,ITGB2
ACH-000007,LS513,LS513_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,SPINK4,PHGR1,LGALS4,TSPAN8,FABP1,LYZ,REG4,TFF3,DPEP1,GPA33
ACH-000008,A101D,A101D_SKIN,Male,Skin Cancer,Melanoma,skin,melanoma,,skin,S100B,NGFR,CTAG2,GAGE2A,CCL2,PAGE5,CXCL1,GAGE2E,MIA,XAGE1B
ACH-000009,C2BBE1,C2BBE1_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,APOA2,VTN,APOA1,NPPB,VIL1,CDH17,SLC2A3,TAGLN,OLR1,TSPAN8
ACH-000011,253J,253J_URINARY_TRACT,Male,Bladder Cancer,Carcinoma,urinary_tract,bladder_carcinoma,,urinary_tract,ALDH1A1,TFPI2,SPP1,AKR1B10,VCAM1,AKR1C2,RGS5,AKR1C1,PDZK1IP1,AREG
ACH-000012,HCC827,HCC827_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,KRT7,SFTA2,XAGE1B,CST6,G0S2,EGFR,FLNC,F3,PDZK1IP1,KRT19
ACH-000013,ONCODG1,ONCODG1_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,SPOCK2,SPON1,SLC34A2,CDH6,CA2,WFDC2,UPK1B,CLDN6,MUC16,PAX8
ACH-000014,HS294T,HS294T_SKIN,Male,Skin Cancer,Melanoma,skin,melanoma,,skin,S100B,NGFR,MIA,SERPINE2,PLP1,GAGE2A,CCL2,SOX10,CTAG2,PAGE5
ACH-000015,NCIH1581,NCIH1581_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",lung,NSCLC,NSCLC_large_cell,lung,DKK4,GCG,NTS,RGS1,GPC3,HAND2,ZIC1,ALDH1A1,MAGEA4,MYF5
ACH-000016,SLR21,SLR21_KIDNEY,Unknown,Kidney Cancer,Renal Cell Carcinoma,kidney,renal_cell_carcinoma,,kidney,SPP1,RARRES2,AKR1B10,PDZK1IP1,ANXA13,SLC34A2,MMP7,C3,CA2,TFPI2
ACH-000017,SKBR3,SKBR3_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERneg_HER2pos,breast,DHRS2,S100A9,SUSD2,S100A14,BCAS1,S100A8,KRT4,KRT19,VTCN1,SPDEF
ACH-000018,T24,T24_URINARY_TRACT,Female,Bladder Cancer,Carcinoma,urinary_tract,bladder_carcinoma,,urinary_tract,CLDN11,KRT7,ESM1,RGS4,PTX3,TAGLN,SRGN,KRTAP2-3,MT1E,TGM2
ACH-000019,MCF7,MCF7_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERpos_HER2neg,breast,TFF1,SPTSSB,SERPINA3,GATA3,CCN5,GREB1,MGP,SERPINA5,KRT19,SULF2
ACH-000020,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,TCL1A,IGLL1,VPREB1,HLA-DRA,IRAG2,CD52,HLA-DRB5,LEF1,NIBAN3,CD22
ACH-000021,NCIH1693,NCIH1693_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CST6,KRT81,MAGEA4,CLDN6,C19orf33,ANKRD1,CTAG2,PLAC8,KRTAP2-3,ANO2
ACH-000022,PATU8988S,PATU8988S_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,REG4,LGALS4,LYZ,TSPAN8,AGR2,CDH17,CLDN18,GPX2,HMGCS2,ERN2
ACH-000023,PATU8988T,PATU8988T_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,MT1E,C19orf33,DYSF,TGM2,KISS1,RBP7,TM4SF19,CYP24A1,SERPINE1,DMKN
ACH-000025,CH157MN,CH157MN_CENTRAL_NERVOUS_SYSTEM,Female,Brain Cancer,Meningioma,central_nervous_system,meningioma,,central_nervous_system,CXCL5,CSF3,CXCL1,CXCL6,IL1B,CLDN11,ECSCR,COL6A3,IL6,CXCL8
ACH-000026,253JBV,253JBV_URINARY_TRACT,Male,Bladder Cancer,Carcinoma,urinary_tract,bladder_carcinoma,,urinary_tract,SPP1,AKR1B10,ALDH1A1,PDZK1IP1,TNFRSF11B,MMP7,CLDN2,VCAM1,IGFN1,CCL2
ACH-000027,GOS3,GOS3_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,GFAP,CHI3L1,IGFBP5,CRYAB,PI15,CXCL14,SPARCL1,PDE1C,COL6A1,CLU
ACH-000028,KPL1,KPL1_BREAST,Female,Breast Cancer,Carcinoma,breast,breast_carcinoma,ERpos_HER2neg,breast,TFF1,SPTSSB,GATA3,TFF3,EEF1A2,SPDEF,SULF2,BMP7,CALML5,CLDN3
ACH-000029,HCC827GR5,HCC827GR5_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,SFTA2,XAGE1B,LY6D,LRRC6,HPGD,CEACAM6,TFEC,TM4SF18,MUC16,CALB1
ACH-000030,PC14,PC14_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,ALDH3A1,KRT13,KLK5,KLK6,UGT1A6,CEACAM6,AKR1C2,AKR1C1,MAL,AKR1C3
ACH-000031,PANC0213,PANC0213_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,LCN2,CXCL5,SAA1,WFDC2,IL6,SAA2,CXCL1,C15orf48,SERPINB2,TACSTD2
ACH-000032,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,DNTT,TCL1A,IGLL1,VPREB3,IRAG2,VPREB1,CXorf21,CD79B,LCN6,RCSD1
ACH-000033,NCIH1819,NCIH1819_LUNG,Female,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,SLC34A2,FABP3,TNNT2,KRT4,CST6,TNNC1,CLDN6,VGLL1,FTHL17,OLR1
ACH-000034,PLB985,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,MPO,PRTN3,SRGN,TYROBP,ARMH1,AZU1,DEFA1,CST7,AIF1,PRG2
ACH-000035,NCIH1650,NCIH1650_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,KLK5,ALPP,XAGE1B,SPINK6,SLPI,CRABP2,S100A9,TACSTD2,CDH3,IFI27
ACH-000036,U343,U343_CENTRAL_NERVOUS_SYSTEM,Unknown,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,COL1A2,COL6A3,PTN,DIO2,SPARC,BGN,COL1A1,TGFBI,THY1,IGFBP5
ACH-000037,S117,S117_THYROID,Female,Sarcoma,Thyroid Sarcoma,soft_tissue,thyroid_sarcoma,,soft_tissue,G0S2,FN1,COL1A2,MMP2,CA9,GREM1,IGFN1,THY1,COL1A1,S100A2
ACH-000038,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Lymphoma,B-cell,lymphocyte,lymphoma_unspecified,b_cell,lymphocyte,HLA-DQA1,CCL3,MS4A1,HLA-DRA,RGS1,CCL4,CD79A,CD74,CD52,CD48
ACH-000039,SKNMC,SKNMC_BONE,Female,Bone Cancer,Ewings Sarcoma,bone,Ewing_sarcoma,,bone,PENK,GRP,CCK,APCDD1,TRMT9B,XAGE1A,XAGE1B,LOXHD1,PRAC1,PPP1R1A
ACH-000040,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Astrocytoma,central_nervous_system,glioma,astrocytoma,central_nervous_system,MMP3,COL1A2,NPTX1,FAM180A,MMP1,TMEM158,MMP2,FST,COLEC12,THY1
ACH-000041,RDES,RDES_BONE,Male,Bone Cancer,Ewings Sarcoma,bone,Ewing_sarcoma,,bone,ITM2A,LOXHD1,PRAC1,XAGE1B,CES1,NELL2,CRABP1,XAGE1A,PKP1,PAX7
ACH-000042,PANC0203,PANC0203_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,LCN2,KLK6,CAPN8,G0S2,PADI1,CST6,ANPEP,TGM2,MILR1,LAMC2
ACH-000043,HS895T,HS895T_FIBROBLAST,Female,Fibroblast,Skin,fibroblast,fibroblast_skin,,fibroblast,DCN,GREM1,TAGLN,IGFBP5,COL1A2,THY1,SERPINB2,FGF7,TNFRSF11B,ACTG2
ACH-000044,MDAMB134VI,MDAMB134VI_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERpos_HER2neg,breast,PVALB,MGP,THRSP,ALDH3B2,ANKRD30A,BEX1,PDZK1,KIF12,RERG,SPDEF
ACH-000045,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,AZU1,PRTN3,LYZ,PPP1R27,MS4A3,MT1G,MS4A6A,PRSS57,APOC2,TYROBP
ACH-000046,ACHN,ACHN_KIDNEY,Male,Kidney Cancer,Renal Cell Carcinoma,kidney,renal_cell_carcinoma,,kidney,RARRES2,PADI3,IGFN1,SPP1,CLDN16,TM4SF4,ALDH1A1,FABP3,GFRA1,KCNIP1
ACH-000048,TOV112D,TOV112D_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, endometrioid",ovary,ovary_adenocarcinoma,endometrioid,ovary,GCG,COL3A1,CEP112,CLDN11,ALDH1A1,APCDD1,PRL,TWIST1,MMP10,CXCL14
ACH-000051,TE617T,TE617T_SOFT_TISSUE,Female,Sarcoma,Rhabdomyosarcoma,soft_tissue,rhabdomyosarcoma,,soft_tissue,PI15,NTS,CD34,SEMA3D,TFPI2,EPHA7,COL14A1,MAGEA4,FSTL5,CALCRL
ACH-000052,A673,A673_BONE,Female,Bone Cancer,Ewings Sarcoma,bone,Ewing_sarcoma,,bone,ITM2A,GRP,CES1,UGT3A2,OLFML3,APCDD1,PRSS35,PKP1,PRAC1,NELL2
ACH-000053,KARPAS299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",lymphocyte,non_hodgkin_lymphoma,t_cell_ALCL,lymphocyte,GZMB,HLA-DQA1,HLA-DRA,HLA-DRB5,IL2RA,HLA-DRB1,CD74,SERPINA1,PRF1,HLA-DPA1
ACH-000054,HT1080,HT1080_SOFT_TISSUE,Male,Sarcoma,Fibrosarcoma,soft_tissue,fibrosarcoma,,soft_tissue,DHRS2,KRT81,CTAG2,PAGE5,COL6A3,ACTL8,SSX1,KCNMA1,RGS4,ANPEP
ACH-000055,D283MED,D283MED_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Medulloblastoma,central_nervous_system,medulloblastoma,med_group_3,central_nervous_system,OTX2,NNAT,MAB21L2,PLP1,TRPM3,CA4,WFIKKN2,LHX8,GUCA1A,NEFH
ACH-000056,DOHH2,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),lymphocyte,non_hodgkin_lymphoma,DLBCL,lymphocyte,JCHAIN,CD79A,CD22,MS4A1,IRAG2,RGS13,CD79B,VPREB3,ALOX5,CD37
ACH-000058,ML1,ML1_THYROID,Unknown,Thyroid Cancer,"Carcinoma, follicular",thyroid,thyroid_carcinoma,follicular,thyroid,SST,IGFBP5,TG,CALCB,GPX3,COL3A1,MXRA5,PCSK1,KCNJ16,SULF1
ACH-000059,SUPB15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,IGLL1,TCL1A,DNTT,CD52,IGLL5,VPREB1,VPREB3,NIBAN3,CD79A,HLA-DRA
ACH-000060,PANC1005,PANC1005_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,CST6,WFDC2,LCN2,KLK6,MUC4,KRT19,F3,KRT8,SNCG,MAL2
ACH-000061,HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,lymphocyte,HAND1,TNFRSF8,MSC,UTS2B,CD74,CCR4,TUBA3C,IL2RB,GPR15,HLA-DQA1
ACH-000062,RERFLCMS,RERFLCMS_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,MAGEA4,SPP1,VCY,VCY1B,CST1,DIRAS3,GAGE1,GAGE2A,CT45A1,PDK4
ACH-000063,HS616T,HS616T_FIBROBLAST,Male,Fibroblast,Lymphoma,fibroblast,fibroblast_lymphocyte,,fibroblast,COL1A2,DCN,POSTN,COL1A1,COL3A1,GREM1,SERPINB2,MFAP5,SULF1,FBLN2
ACH-000065,OCIAML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,PPP1R27,MS4A6A,PRSS57,FCER2,PRG2,GMFG,CCNA1,RNASE2,CSF3R,LYL1
ACH-000066,HCC4006,HCC4006_LUNG,Male,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",lung,NSCLC,NSCLC_adenocarcinoma,lung,CEACAM6,SPOCK2,SLC34A2,SPTSSB,SCGB3A1,IFI27,XAGE1B,KRT7,CST6,AGR2
ACH-000067,HS683,HS683_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Oligodendroglioma,central_nervous_system,glioma,oligodendroglioma,central_nervous_system,COL1A2,COL6A3,COL1A1,IGFBP5,SLC14A1,CCL2,THY1,DKK3,MMP2,LRRC17
ACH-000068,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,lymphocyte,IGLL5,FCRL5,CHI3L2,CD79A,TNFRSF13B,PLEK,FCRL3,EBI3,SPIB,MS4A1
ACH-000069,HS611T,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Lymphoma,"B-cell, Hodgkins",lymphocyte,hodgkin_lymphoma,,lymphocyte,MS4A1,CD79A,HLA-DRA,CD53,JCHAIN,CD52,HLA-DQA1,CD74,CD79B,HLA-DPA1
ACH-000070,697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",blood,ALL,b_cell,blood,DNTT,IGLL1,IRAG2,VPREB3,VPREB1,TCL1A,RCSD1,CD79A,GMFG,GZMA
ACH-000071,HS706T,HS706T_BONE,Female,Fibroblast,Bone,fibroblast,fibroblast_bone,,fibroblast,COL1A2,COL1A1,POSTN,COL3A1,COL6A3,ITGA11,SULF1,COL11A1,ABI3BP,SPARC
ACH-000072,MEG01,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Chronic Myelogenous Leukemia (CML),blood,CML,,blood,HBG2,HBA1,HBA2,HBE1,CA1,RPS4Y1,HDC,HBG1,RHAG,CLCA1
ACH-000073,GRANTA519,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Lymphoma,"B-cell, Non-Hodgkins, Mantle Cell",lymphocyte,non_hodgkin_lymphoma,b_cell_mantle_cell,lymphocyte,MS4A1,CCL3,CD79A,HLA-DRA,MZB1,JCHAIN,HLA-DQA1,FCER2,PLEK,CCL4
ACH-000074,KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",blood,CML,blast_crisis,blood,HBG2,HBB,CA1,HBA1,HBA2,PRSS57,RHAG,GYPA,HDC,KLF1
ACH-000075,U87MG,U87MG_CENTRAL_NERVOUS_SYSTEM,Unknown,Brain Cancer,Astrocytoma,central_nervous_system,glioma,astrocytoma,central_nervous_system,COL6A3,CHI3L1,MMP2,SIGLEC15,HLA-DRB5,TFPI2,IL36B,CSF3,TMEM273,CA9
ACH-000076,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,Chronic Myelogenous Leukemia (CML),blood,CML,,blood,HBG2,RHAG,PRG2,CRISP3,APOE,APOC1,KLF1,LYL1,HBA1,AIF1
ACH-000077,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,lymphocyte,IL2RA,LTA,OTP,IL9R,CCR4,CCL3,CCR7,RGS1,CCL1,CXCL10
ACH-000078,MHHNB11,MHHNB11_AUTONOMIC_GANGLIA,Male,Neuroblastoma,,peripheral_nervous_system,neuroblastoma,,peripheral_nervous_system,DLK1,STMN2,HAND2,MYCN,STMN4,RGS5,GDAP1L1,PHOX2A,MAB21L2,MAB21L1
ACH-000079,TE125T,TE125T_FIBROBLAST,Female,Fibroblast,Soft tissue,fibroblast,fibroblast_soft_tissue,,fibroblast,PI16,MFAP5,POSTN,COL1A2,DCN,HSPB6,COL1A1,PTX3,COL3A1,ELN
ACH-000080,BDCM,BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",blood,AML,M5,blood,MS4A1,FCER2,CD48,CD53,PLEK,SLAMF1,HLA-DRA,TNFRSF13B,CCL3,CD79A
ACH-000081,GDM1,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,AIF1,CD34,CD52,SPINK2,MMRN1,HLA-DRA,LST1,ITM2A,CYTL1,SMIM24
ACH-000082,G292CLONEA141B1,G292CLONEA141B1_BONE,Female,Bone Cancer,Osteosarcoma,bone,osteosarcoma,,bone,LUM,HSPB7,BGN,CRYAB,COL6A3,COL1A2,MMP2,BAALC,ACAN,PRRX1
ACH-000083,HS281T,HS281T_FIBROBLAST,Female,Fibroblast,Breast,fibroblast,fibroblast_breast,,fibroblast,GREM1,COL1A2,SULF1,COL1A1,TAGLN,COL6A3,POSTN,IGFBP5,ACTA2,SERPINE1
ACH-000084,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,Acute Myelogenous Leukemia (AML),blood,AML,,blood,MPO,CLC,AZU1,S100A8,LYZ,STAB1,AIF1,CSF3R,S100A9,SPN
ACH-000085,T3M4,T3M4_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,KRT13,KRT6A,LY6D,ALDH3A1,CALB1,LCN2,AGR2,KRT17,DHRS9,CEACAM6
ACH-000086,ACCMESO1,ACCMESO1_PLEURA,Female,Lung Cancer,Mesothelioma,lung,mesothelioma,,lung,PLAC8,CD70,SPARC,RFLNA,MEIOB,IFI27,ARL14EPL,THY1,ANKRD37,BARX1
ACH-000087,SKES1,SKES1_BONE,Male,Bone Cancer,Ewings Sarcoma,bone,Ewing_sarcoma,,bone,SYCP1,PAX7,ITM2A,XAGE1B,OLFML3,XAGE1A,RBM11,CES1,PPP1R1A,MYOM2
ACH-000088,HS172T,HS172T_FIBROBLAST,Male,Fibroblast,Bladder,fibroblast,fibroblast_urinary_tract,,fibroblast,NPY,TRPA1,FGF7,CTSK,WFDC1,HSD17B2,LUM,CHRM2,PCDH18,CXCL8
ACH-000089,NCIH684,NCIH684_LARGE_INTESTINE,Male,Colon/Colorectal Cancer,Adenocarcinoma,colorectal,colorectal_adenocarcinoma,,colorectal,IGF2,LGALS4,FABP1,AGR2,LYZ,VIL1,TSPAN8,CDX1,IFI27,CDH17
ACH-000090,PC3,PC3_PROSTATE,Male,Prostate Cancer,Adenocarcinoma,prostate,prostate_adenocarcinoma,,prostate,PI3,KRT81,MSMP,CALB1,DKK1,SPTSSB,TFF1,G0S2,FST,PRAC1
ACH-000091,OV56,OV56_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, serous",ovary,ovary_adenocarcinoma,serous,ovary,SAA1,SAA2,CLEC4E,CCL20,COLEC10,GREM1,TCIM,TLR2,SPP1,G0S2
ACH-000092,NCIH2452,NCIH2452_PLEURA,Male,Lung Cancer,Mesothelioma,lung,mesothelioma,,lung,PSG1,RARRES2,PSG5,TNXB,EFEMP1,C4A,ABI3BP,CLDN11,IFI27,C4B
ACH-000093,PANC0504,PANC0504_PANCREAS,Female,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,PSCA,MUCL3,DHRS9,ANXA10,UPK3B,CEACAM6,AGR2,LY6D,S100P,PRSS2
ACH-000094,HPAFII,HPAFII_PANCREAS,Male,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",pancreas,exocrine,exocrine_adenocarcinoma,pancreas,LYZ,MMP7,KLK6,CEACAM5,GPX2,TSPAN8,CEACAM6,DHRS9,TM4SF4,RBP1
ACH-000095,D341,D341MED_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Medulloblastoma,central_nervous_system,medulloblastoma,med_group_3,central_nervous_system,OTX2,SLC13A4,MAB21L2,EFCAB10,TMEM244,SLC38A5,LMO3,PCDH17,CDHR1,CBLN1
ACH-000096,G401,G401_SOFT_TISSUE,Male,Rhabdoid,Malignant Rhabdoid Tumor,kidney,malignant_rhabdoid_tumor,,kidney,COL11A1,CRYAB,GPC3,CD177,LIN28A,PSG9,F2RL2,SNCA,OTX2,GJA1
ACH-000097,ZR751,ZR751_BREAST,Female,Breast Cancer,Breast Ductal Carcinoma,breast,breast_ductal_carcinoma,ERpos_HER2neg,breast,SCGB2A2,AGR2,SCGB1D2,S100A14,TFF1,VTCN1,AGR3,MUCL1,SMIM22,SPDEF
ACH-000098,GAMG,GAMG_CENTRAL_NERVOUS_SYSTEM,Female,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,SLC14A1,IL6,CXCL8,SERPINE1,TM4SF19,DNER,STC1,SPANXB1,CXCL5,CSF3
ACH-000099,SIMA,SIMA_AUTONOMIC_GANGLIA,Male,Neuroblastoma,,peripheral_nervous_system,neuroblastoma,,peripheral_nervous_system,SST,DLK1,CHGA,CHGB,IGF2,STMN2,HAND2,PHOX2A,MYCN,NEFM
ACH-000100,RH41,RH41_SOFT_TISSUE,Female,Sarcoma,"Rhabdomyosarcoma, alveolar",soft_tissue,rhabdomyosarcoma,alveolar,soft_tissue,ERVW-1,CPA5,TNNI1,IGF2,CHRNA1,MYOG,ACTC1,MYOD1,STATH,SOX8
ACH-000101,KE37,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,CD3D,RETN,CD3E,ITM2A,MZB1,AIF1,LCK,PTPRC,ZAP70,LAIR1
ACH-000102,GMS10,GMS10_CENTRAL_NERVOUS_SYSTEM,Male,Brain Cancer,Glioblastoma,central_nervous_system,glioma,glioblastoma,central_nervous_system,ACTG2,COL1A2,MYL9,COL1A1,BEX1,OAS2,THY1,CHI3L1,TAGLN,SPARC
ACH-000103,CAOV4,CAOV4_OVARY,Female,Ovarian Cancer,"Adenocarcinoma, high grade serous",ovary,ovary_adenocarcinoma,high_grade_serous,ovary,KLK5,KLK6,PTGDS,APOA1,WFDC2,KLK11,KLK8,UPK1B,APOE,SPON1
ACH-000104,LOUCY,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Female,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,IGLL1,CD3D,ITM2A,SELL,CTSG,GZMA,CD3E,SMIM24,CD79A,TSPAN7
ACH-000105,ALLSIL,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Male,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",blood,ALL,t_cell,blood,CD3D,ITGAL,AIF1,CD7,CD3E,CFTR,TLX1,CD1E,LEF1,GIMAP7
